Date;UltimateCost
14/01/2001;785946.49
30/01/2001;1221669.39
18/02/2001;826208.35
05/03/2001;317316.53
09/03/2001;674234.93
11/03/2001;735936.37
20/03/2001;1295330.25
27/03/2001;669956.07
17/05/2001;9368.55
19/05/2001;701963.26
22/06/2001;685770.29
01/07/2001;1480936.08
11/07/2001;2754114.49
17/07/2001;1181748.41
01/08/2001;547444.33
14/08/2001;1766750.51
15/08/2001;1092301.78
16/08/2001;817032.57
16/08/2001;801135.04
20/08/2001;730810.78
10/09/2001;863449.96
23/09/2001;783610.28
05/10/2001;666335.18
05/10/2001;641780.58
23/10/2001;1073226.74
24/10/2001;973235.33
01/11/2001;584053.23
02/11/2001;949827.16
24/12/2001;1091791.07
01/01/2002;653918.35
04/01/2002;875421.32
12/01/2002;1420020.68
12/01/2002;338268.47
07/02/2002;540972.32
17/02/2002;666284.86
20/06/2002;747199.61
22/06/2002;343233.8
08/07/2002;387326.06
29/07/2002;796538.54
09/08/2002;618312.48
24/08/2002;703454.7
02/09/2002;1494046.72
16/09/2002;986903.32
18/09/2002;1895848.42
22/09/2002;2160.73
22/09/2002;1090515.66
26/09/2002;1927045.1
02/10/2002;299208.07
10/10/2002;462305.7
13/10/2002;732103.94
20/10/2002;1352011.92
26/10/2002;1038535.7
27/10/2002;359746.03
04/11/2002;1411145.12
16/11/2002;1143572.09
20/12/2002;1180800.34
15/01/2003;735419.93
03/02/2003;623300.41
03/02/2003;911366.2
14/02/2003;456275.47
27/02/2003;773348.53
02/03/2003;407803.98
26/03/2003;790706.33
04/04/2003;690516.9
08/04/2003;638566.11
03/05/2003;481624.35
06/05/2003;743129.85
14/05/2003;394465.13
24/05/2003;468826.49
05/06/2003;758771.31
21/06/2003;1008883.47
26/05/2003;1138947.81
05/07/2003;584596.97
19/07/2003;1501721.43
30/07/2003;1493286.37
31/07/2003;1862621.73
03/09/2003;874069.25
07/09/2003;1233888.8
07/09/2003;382243.58
17/09/2003;1390898.01
22/09/2003;1094378.97
25/09/2003;649923.96
27/09/2003;1258082.92
29/09/2003;749615.92
04/10/2003;798916.42
06/10/2003;843314.38
08/10/2003;2328729.42
26/10/2003;750117.25
09/11/2003;1146045.8
03/12/2003;1400554.97
08/12/2003;624099.57
10/12/2003;902569.72
14/12/2003;1323257
15/12/2003;989698.01
20/12/2003;450390.69
22/12/2003;595764.12
29/01/2004;99438.03
10/02/2004;1373417.67
25/03/2004;1860672.53
30/03/2004;591991.57
05/05/2004;1109965.51
11/05/2004;1350690.48
16/05/2004;980422.87
30/05/2004;369859.52
31/05/2004;604376.69
02/06/2004;1013332.63
05/06/2004;745170.36
13/06/2004;1214238.5
16/07/2004;776835.31
21/07/2004;1456207.73
21/07/2004;844010.92
07/08/2004;1069307.7
08/09/2004;382542.12
09/10/2004;594565.08
09/10/2004;752072.07
28/10/2004;639731.56
17/11/2004;1679140.48
24/12/2004;2381411.99
01/01/2005;919312.46
16/01/2005;1028696.18
18/01/2005;1155826.32
21/01/2005;281938.42
29/01/2005;1554208.38
03/03/2005;548762.52
06/03/2005;886933.84
19/03/2005;619628.57
02/04/2005;632804.72
17/04/2005;409287.41
27/04/2005;927249.81
06/05/2005;660191.08
08/05/2005;1013807.22
31/05/2005;2514303.62
12/06/2005;579722.01
12/06/2005;721903.73
26/06/2005;2826957.57
08/07/2005;6639499.57
09/07/2005;2943269.15
18/07/2005;2263005.04
30/07/2005;1764900.46
12/08/2005;1268268.78
24/08/2005;278700.96
26/08/2005;995528.91
02/09/2005;720310.03
07/09/2005;2081417.68
20/09/2005;354004.38
23/09/2005;859160.65
24/09/2005;154704.82
30/09/2005;706362.71
07/10/2005;809658.3
06/12/2005;2068945.22
07/12/2005;574326.98
09/12/2005;2038641.9
24/12/2005;460802.33
10/01/2006;386827.7
11/02/2006;150416.71
26/02/2006;746946.5
25/03/2006;507046.99
15/04/2006;1028027.54
27/04/2006;1278974.2
30/04/2006;479408.62
14/05/2006;436517.53
10/06/2006;2125066.88
14/06/2006;775875.51
17/06/2006;404230.63
20/06/2006;1182275.77
28/06/2006;822841.6
29/06/2006;551013.68
30/06/2006;2316183.7
21/07/2006;4431.78
23/07/2006;442338.03
26/07/2006;721230.87
28/07/2006;260739.37
15/08/2006;185443.91
02/09/2006;1572901.78
10/09/2006;989715.77
23/09/2006;1669056.33
01/10/2006;647633.17
31/10/2006;436144.34
05/11/2006;423914.54
24/11/2006;408932.55
27/11/2006;9569.08
11/12/2006;846954.67
17/12/2006;1353822.28
04/02/2007;3076701.32
11/02/2007;842335.18
22/02/2007;834212.78
01/03/2007;705203.38
03/03/2007;994223.81
25/03/2007;1041835.32
29/03/2007;966979.63
31/03/2007;260506.7
22/04/2007;1478262.45
22/04/2007;1645339.43
18/05/2007;274698.01
24/05/2007;1126933.74
25/05/2007;901010.4
27/05/2007;486022.29
13/06/2007;720696.19
18/06/2007;1020853.74
19/06/2007;513178.73
20/06/2007;1363747.45
05/07/2007;57492.79
12/07/2007;784502.45
14/07/2007;786283.98
04/08/2007;2410812.34
15/08/2007;683256.7
21/08/2007;698473.55
24/08/2007;934359.37
24/08/2007;704161.75
23/09/2007;837572.01
25/09/2007;657483.21
27/10/2007;1434500.06
03/11/2007;730824.76
03/11/2007;1857575.33
05/11/2007;1025558.56
02/12/2007;1012947.6
06/12/2007;535350.15
19/12/2007;615929.39
29/12/2007;715360.51
15/01/2008;537471.02
17/01/2008;1247603.26
23/02/2008;1051493.43
28/02/2008;1588626.31
01/03/2008;647061.39
11/03/2008;779028.96
11/03/2008;594539.7
27/03/2008;597805.4
18/03/2008;579491.03
22/03/2008;792921.02
06/04/2008;914066.88
19/04/2008;2247047.87
25/04/2008;675143.66
27/04/2008;1024724.56
22/05/2008;760610.11
25/05/2008;871789.01
20/06/2008;914500.73
24/06/2008;133763.58
25/06/2008;479566.53
26/06/2008;735385.75
01/07/2008;583653.14
20/07/2008;942400.61
22/07/2008;1456444.66
24/07/2008;792083.88
08/08/2008;767915.75
11/08/2008;673343.39
02/09/2008;2192246.93
03/09/2008;1037458.86
11/09/2008;1475469.48
17/09/2008;601235.09
20/09/2008;660433.1
26/09/2008;776088.65
06/10/2008;633384.01
14/10/2008;403137.5
06/11/2008;265467.39
24/11/2008;221479.17
07/12/2008;3076045.59
01/01/2009;727218.83
21/01/2009;982388.44
27/01/2009;1172228.28
17/02/2009;1004697.1
23/03/2009;1262215.28
30/04/2009;1489120.59
18/05/2009;726406.99
25/05/2009;1335800.96
31/05/2009;568617.96
31/05/2009;814754.56
16/06/2009;535087.51
23/06/2009;300753.48
24/06/2009;2259161.12
03/07/2009;413270.33
07/07/2009;1598572.51
12/07/2009;1004129
13/07/2009;271009.45
13/07/2009;176134.54
15/07/2009;791278.26
16/07/2009;835600.03
02/08/2009;2743607.93
03/08/2009;862005.21
10/08/2009;627718.53
17/08/2009;717104.14
12/09/2009;862716.66
18/09/2009;1001135.55
20/09/2009;749735.98
23/09/2009;1029479.89
29/09/2009;2572272.02
06/10/2009;1591019.78
21/10/2009;515238.48
25/10/2009;1052702.2
25/10/2009;848763.68
16/11/2009;2037488.77
27/11/2009;598088.45
29/11/2009;2121460.15
03/12/2009;667102.54
06/12/2009;489612.18
07/12/2009;988968.64
21/12/2009;585354.83
08/01/2010;3053329.28
18/01/2010;980490.14
21/01/2010;364605.55
20/02/2010;1461155.45
20/03/2010;921123.5
23/03/2010;1218833.48
29/04/2010;1040982.29
02/05/2010;1059725.66
03/05/2010;1073344
05/08/2010;1063373.95
19/05/2010;732161.97
21/05/2010;775146.15
28/05/2010;1006401.13
06/06/2010;187122.45
17/06/2010;930234.21
27/06/2010;1379037.26
28/06/2010;1623589.3
10/07/2010;1462058.24
16/07/2010;1115523.45
18/07/2010;1994079.36
02/08/2010;535195.62
05/08/2010;2139148.88
07/08/2010;680219.05
09/08/2010;2127805.26
10/08/2010;680219.05
13/08/2010;1202660.84
24/08/2010;1066102.77
01/09/2010;1225653
19/09/2010;2542566.44
29/09/2010;800474.69
08/12/2010;703934.26
16/12/2010;1331772.78
30/12/2010;1466524.47
01/01/2011;1467752.53
23/01/2011;3711063.01
25/01/2011;4062282.79
08/02/2011;3196173.26
09/02/2011;760502.86
16/02/2011;817636.5
05/03/2011;1678329.83
09/04/2011;1023115.03
21/04/2011;2548463.68
13/05/2011;2852215.6
27/05/2011;1102289.28
28/05/2011;1401143.28
16/06/2011;320464.5
30/06/2011;1454935.18
30/06/2011;1164265.15
13/07/2011;1027895.69
20/07/2011;813949.75
22/07/2011;890848.06
25/07/2011;1542066.95
22/08/2011;1088969.67
25/08/2011;912302.02
08/09/2011;784223.12
16/09/2011;1224316.09
25/10/2011;1206939.43
09/11/2011;2175450.02
13/11/2011;2445240.72
15/11/2011;813949.75
20/11/2011;1092401.02
21/11/2011;1034573.74
28/11/2011;1084544.64
20/12/2011;1364474.95
17/01/2012;4596062.03
27/01/2012;2555578.85
03/04/2012;1426828.71
09/04/2012;1115397.74
03/06/2012;1750278.61
